"","Acute HX_SL.IM","Acute HX_1D.HX.IM","Acute HX_3D.HX.IM","Acute HX_7D.HX.IM","Acute HX_21D.HX.IM"
"Stat4",0.0493173854412975,0.0241785720119656,0.0379990172311489,0.0429621771690503,0.0371708369426627
"Qsox1",0.170026825076176,0.147882215153496,0.200374730966187,0.2407929612318,0.125161661369535
"Cep350",0.599515605935441,0.128002364195629,0.250594487079853,0.1944200641393,0.59002837712832
"Coq8a",0.0463690120231661,0.0266815184548624,0.0303244283486063,0.0691007994840732,0.0728534255605378
"Slco5a1",0.00690985564527673,0.00181519433833625,0,0,0.0030822671048407
"Agfg1",0.275299184513501,0.141904353827684,0.230594063956113,0.11196335358057,0.257805224122039
"A030005L19Rik",0,0,0,0,0
"Clasp1",0.184547443895298,0.10448290570475,0.246275238569307,0.179782142719385,0.113852219311193
"Tor1aip1",1.25269066675765,0.770652441876269,1.13611728446605,1.023310035702,1.27359156754281
"Psen2",0.443101219460817,0.331747388601838,0.444158003718588,0.290706128662038,0.436921468396893
"Itpkb",0.567011843339441,0.426796080958813,0.477685163746912,0.73262643886756,0.318348962926435
"Pid1",4.34386247294018,4.36644304200581,9.25823757674042,8.59656646033847,3.20802142568775
"Tor1aip2",0.232067221921026,0.253050939343265,0.226467963576943,0.28603258441848,0.16226656802386
"Ncoa2",0.382499479409151,0.194535471409041,0.203536905518157,0.337079943453946,0.261432981521988
"Ralb",0.852868245555448,0.871039980808427,0.751861595395294,0.702252120433739,0.8542077303189
"Tmem185b",0.18406269233784,0.317495594021212,0.291023817494043,0.335183912723418,0.14113348292133
"Parp1",0.809054400052412,0.503534586750971,0.702514148355094,0.655486016330376,0.816490626233474
"Tram1",0.928033922363427,1.31639467873361,1.51578857467437,1.59033419035472,0.781464767783334
"Lactb2",0.189815718772234,0.128434798369346,0.0711851896119587,0.167696440549457,0.264215142622176
"Axdnd1",0.0046398376681018,0,0.00567268061065308,0,0.00186363072918942
"Gm2000",0.741381968052596,0.363242912750584,2.7173070754768,0.322777513688604,0.500336497739088
"Soat1",0.942462960400735,0.613248479621298,0.619794148960492,0.614263695789568,0.834131571950972
"Lin9",0.127676834676996,0.0824537872442283,0.225679101651932,0.19442052546602,0.166774470065664
"Acbd3",0.569180312403788,0.241679830128895,0.138779916696169,0.191159391233868,0.787730399059815
"Abl2",0.229273664504523,0.125447954040565,0.114381352424097,0.129356835384696,0.135172541841172
"Trip12",0.745758890055423,0.501229486957455,0.567774120801002,0.467355283881027,0.523378632856305
"Fbxo36",0.0204833660993564,0.0240038260637287,0.0029081201980795,0.0157157895751257,0.031430680438144
"Slc16a14",0.0399781933319195,0,0.00117394605177877,0.0252552606426487,0.0137762782012152
"Stat1",0.758893353865154,0.297990734494258,0.55640057618214,0.470932013632081,0.377715717762242
"Epb41l5",0.00249933517684296,0.00206869832814766,0,0,0.000719851591354538
"Tor3a",0.289043105037549,0.352772206654809,0.559109488378126,0.669819639301341,0.310892284618495
"H3f3a",11.9475676911017,11.9688653926937,9.76332233954343,7.90216148107151,12.123353085488
"Sde2",0.359892413820918,0.180384645259319,0.139100499220187,0.206102068110443,0.416720699147593
"C130026I21Rik",0.0730166959892492,0.0285302354806645,0.116517471295132,0.0688241274850335,0.109799958584937
"Fam20b",0.172399505483206,0.127486426667545,0.142996148282539,0.20689193065743,0.144266810002831
"Eya1",0,0.00386369759559991,0,0.00356800328827183,0.00423281369187373
"A530032D15Rik",0.00907542762511058,0.00522724574214552,0.00143034792068892,0.0329535328095925,0.0295799408367955
"Pycr2",0.236665251043935,0.331616623906909,0.308658353376693,0.254790241575983,0.316595055194872
"Lefty1",0.00776513511333975,0.0265291097406807,0.0178745705634422,0.0053060353964664,0.0271682775784221
"Gm7609",0.00453598623077762,0.00714648744610587,0.00777211211242514,0.013294016147974,0.00086381521264971
"Ptpn4",0.058312934910969,0.0450127367365608,0.0517633267409146,0.0506507174425568,0.0581093675372756
"Tmem177",0.0236697372154177,0.0360489260344315,0,0.0781007204575339,0.0202073395095302
"Gm7592",0.00782218462357006,0.00699755974372316,0,0,0.00480222618255474
"Tmem63a",0.152124560117685,0.123368308871732,0.194712988643314,0.267174097087299,0.14043810340312
"Sp110",0.495259897879224,0.444941635993667,0.5597053019303,0.495614870062978,0.402390957059732
"Terf1",0.118124380642244,0.0897659316406,0.105312669087363,0.202000645914931,0.173731272701964
"Ephx1",0.390573264910716,0.198324111426854,0.0924718834545846,0.205196131826478,0.407330052644541
"Tmem37",0.863470160094716,1.05876402099066,0.832187418612805,1.05165734251128,1.6375515735758
"Sp140",0.391857630083983,0.214490369247659,0.32166896335495,0.261781134421363,0.496325098392778
"Rpl7",17.0877644367987,15.6741957172225,9.54628046109836,11.4049869310497,20.12723405634
"Nvl",0.267049602831569,0.160193537185785,0.176261808292394,0.147444444669614,0.226372585363897
"Rdh10",0.142912911008487,0.0417943209915776,0.0282296698246904,0.0829646076476658,0.0545326996271775
"Cnih4",1.2302024157486,1.30003037537461,0.97415378465302,0.993213225217534,1.54647189171799
"Gls",1.01307032769196,0.543601390983251,0.544578496812317,0.615217229729236,0.667773769629824
"Nab1",0.458420147662845,0.36201064568164,0.348618369300999,0.36394091708494,0.376018747493926
"Nemp2",0.119687147982946,0.0221638001350801,0.0450731695811377,0.0522582976129128,0.0258834899592997
"Wdr26",1.33287396704182,0.901655147005195,0.987382883933465,1.0159787217085,1.10869788508275
"Insig2",0.24560967257666,0.327652958637785,0.184485413470263,0.297348589287057,0.242561285116175
"Mfsd6",0.112116143323209,0.0853634877130873,0.258995209249618,0.178872999761316,0.12694805043261
"Inpp1",0.0691672809132909,0.0423540788433498,0.0609510854952813,0.0781189900895439,0.0749768769007082
"Hibch",0.0748416118484532,0.0333832617748872,0.0105390169185168,0.0242485355824463,0.0629306531880495
"Ccdc93",0.195566254646088,0.11509990010759,0.0862611057249878,0.157831287471294,0.158028268028762
"Ddx18",0.483742277101394,0.407372802197037,0.394814866170712,0.305214772218984,0.64633196257316
"Sp100",0.630409933239527,0.389555131680354,0.755047845735385,0.787426897299674,0.45662941817259
"Lbr",0.544051720524651,0.393880693419732,0.728350237759069,0.704709482762184,0.412850135248939
"A630001G21Rik",0.246132386778832,0.234925337634408,0.306483784542086,0.218741339599067,0.206383877020978
"Pms1",0.0599943886218152,0.020179630649609,0.0339591637559416,0.0323061646140863,0.0309150544224048
"Ormdl1",0.170213905411252,0.184607878302091,0.16644355553725,0.178745413887815,0.186120720491468
"Cab39",0.588234518448564,0.515557409211265,0.281254752328264,0.437682370887389,0.622481299032802
"Itm2c",1.82782795316057,2.17238063929234,1.68432934402785,2.74322831461212,1.621109585482
"Gpr55",0.00586683692770233,0.0178392904882138,0.01580039766293,0.00999434884911824,0.00351828110896878
"Osgepl1",0.0308854600417958,0.0355179208785366,0.0415031079954547,0.0287471731510274,0.0473219566328494
"Asnsd1",0.406909220244362,0.508170466873672,0.314553897958156,0.372948078195126,0.279875673414865
"Stau2",0.0294967312126079,0.0365240185769691,0.0295497915606561,0.0246761396686749,0.0916370083407894
"Ube2w",0.233654984523699,0.321994231141622,0.280784865454527,0.321483216503146,0.224318858490287
"Psmd1",0.487424098673827,0.413429775617199,0.306819184208929,0.276930169925664,0.606085137343233
"Htr2b",0,0,0,0,0
"Stk17b",2.63502434334945,1.19578988607935,1.34525857170274,1.64528717070308,2.21623447465891
"Actr3",5.09270824996342,5.86221281514795,4.20730980380865,4.4131280532267,5.582642314104
"Eloc",0.97174679806421,1.4239143807338,1.14381127857021,0.996146257125479,1.32710599280265
"Slc35f5",0.123122274851023,0.196175573596862,0.147569294225955,0.189517428019653,0.102232710113878
"Tmem70",0.205533203084066,0.270338763578515,0.24495299147427,0.262868976279305,0.283156176223759
"Ly96",0.459440679565565,0.582652880193587,0.519513683440899,0.54887777429639,0.519255076640068
"Hecw2",0,0.00126349667144437,0,0,0.000149536451207221
"Gtf3c3",0.152181167239094,0.0803029425521537,0.128699313205488,0.0831457312865741,0.103572862655379
"Nckap5",0,0,0,0.00334439212328767,0.000993906152520211
"Enah",0.0107530330536295,0.0174760571446565,0.0526701618087816,0.00435237259298015,0.016403602090223
"Pgap1",0.0631165454940213,0.0404191546812062,0.0593856410743223,0.0542869418779124,0.0659839483467904
"Srp9",1.59253864950849,2.96056694360716,1.67243739614719,1.70192457765234,1.93489316325385
"Mgat5",0.272938292986627,0.19047290340354,0.243886709366984,0.243861881231451,0.234062435774581
"Degs1",0.567391259100768,0.861763342046041,1.07677250096283,1.19491789857547,0.650894394166947
"Ralgps2",0.17461509803142,0.0608536960692799,0.146517110273156,0.106699990087138,0.259380757559818
"Fbxo28",0.21539319750383,0.140990453862245,0.185884386730234,0.181286123948524,0.158782446195674
"Trp53bp2",0.103596233227104,0.0528443184094777,0.0711976842967699,0.0413261601285954,0.0938583829210715
"Armc9",0.0770657719530787,0.105175782424032,0.0702060803934024,0.127877563607089,0.0780077132110175
"B3gnt7",0.0441981456035082,0.0810967275821809,0.0561114687430345,0.0868789962256914,0.041389185099388
"Ccnt2",0.396131657227443,0.436300769715994,0.905836099298974,0.839663572392302,0.27124935742478
"Ankrd44",1.11288386027527,0.771333610700755,1.39517657531607,1.82491703119648,0.580376861493474
"Ncl",4.13639882025765,2.17825055805874,1.75737264590025,1.37168239405482,3.88422113449637
"Capn2",0.545060492805446,0.747599463708103,0.741241701619771,0.833153649887724,0.517846019885579
"Mcm3",0.277899258657651,0.260815389262775,0.39554354399391,0.238270258478512,0.357924969814841
"Sf3b1",2.06840095613858,1.54977922461248,1.92784740538628,1.89365352968103,2.17285560270387
"Ptma",19.91829707685,19.7039519908103,14.6501379302782,13.5147856614235,25.2452021691269
"Paqr8",0.0194874682125485,0.00176573053614357,0,0.0129328251589536,0.0126276216080358
"Pde6d",0.245711063057146,0.28239195340845,0.1618116028638,0.251370481989555,0.155677521390455
"Coq10b",0.754373322990877,0.47764310795954,0.54225431487699,0.39683960656284,0.598570275302894
"Tram2",0.0908866572152999,0.0823297622521602,0.122754259298259,0.0667609944708475,0.0443109655999184
"Rab3gap1",0.262565720164818,0.102044098865608,0.158202107039743,0.0862923933717079,0.303974044622165
"Tmem14a",0.0163111019421756,0.0373889525690283,0.00570085691931909,0.0490757571285806,0.0347847908320892
"Cops7b",0.0637730786311755,0.0957162317089369,0.100140522252122,0.121766148346201,0.0578655278689284
"Rasal2",0.0426326115353659,0.0325886037513328,0.00568552350838606,0.0290688712977299,0.0378133029424318
"Hspd1",1.0035854227727,1.1092604186615,0.977159758089052,1.00926142521406,1.217629990758
